scenario_id,p2,replacement_loss,best_policy4,best_policy6,best_profit,profit_gap
1,0.05,6.0,1001,100101,21.054181286549706,0.3324999999999889
1,0.05,6.8,1001,100101,20.925292397660826,0.40850000000001074
1,0.05,7.6,1001,100101,20.796403508771938,0.48450000000000415
1,0.05,8.4,1001,100101,20.66751461988305,0.5605000000000047
1,0.05,9.2,1001,100101,20.53862573099415,0.636499999999991
1,0.05,10.0,1001,100101,20.40973684210526,0.7124999999999986
1,0.05,10.8,1001,100101,20.280847953216373,0.788499999999992
1,0.05,11.600000000000001,1001,100101,20.151959064327485,0.8645000000000067
1,0.05,12.4,1001,100101,20.023070175438598,0.9405000000000001
1,0.05,13.2,1001,100101,19.894181286549703,1.0164999999999935
1,0.05,14.0,1001,100101,19.765292397660815,1.092499999999994
1,0.05,14.8,1001,100101,19.636403508771927,1.0988888888888866
1,0.05,15.600000000000001,1001,100101,19.507514619883047,0.970000000000006
1,0.05,16.4,1001,100101,19.378625730994152,0.8411111111111111
1,0.05,17.200000000000003,1001,100101,19.249736842105264,0.7122222222222234
1,0.05,18.0,1001,100101,19.120847953216376,0.5833333333333357
1,0.05,18.8,1001,100101,18.99195906432749,0.454444444444448
1,0.05,19.6,1001,100101,18.8630701754386,0.32555555555556026
1,0.05,20.4,1001,100101,18.734181286549706,0.19666666666666544
1,0.05,21.200000000000003,1001,100101,18.60529239766082,0.06777777777777771
1,0.05,22.0,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,22.8,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,23.6,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,24.400000000000002,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,25.200000000000003,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,26.0,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,26.8,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,27.6,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,28.400000000000002,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,29.200000000000003,1011,101101,18.53751461988304,0.04750000000000654
1,0.05,30.0,1011,101101,18.53751461988304,0.04750000000000654
1,0.05500000000000001,6.0,1001,100101,20.838722222222216,0.33074999999999477
1,0.05500000000000001,6.8,1001,100101,20.705833333333338,0.4063500000000104
1,0.05500000000000001,7.6,1001,100101,20.572944444444445,0.48195000000000476
1,0.05500000000000001,8.4,1001,100101,20.440055555555553,0.557549999999992
1,0.05500000000000001,9.2,1001,100101,20.30716666666666,0.6331500000000005
1,0.05500000000000001,10.0,1001,100101,20.17427777777778,0.708750000000002
1,0.05500000000000001,10.8,1001,100101,20.04138888888889,0.7843500000000034
1,0.05500000000000001,11.600000000000001,1001,100101,19.908499999999997,0.8599499999999907
1,0.05500000000000001,12.4,1001,100101,19.77561111111111,0.9355500000000063
1,0.05500000000000001,13.2,1001,100101,19.642722222222226,1.0111500000000078
1,0.05500000000000001,14.0,1001,100101,19.50983333333334,1.0867500000000092
1,0.05500000000000001,14.8,1001,100101,19.37694444444444,1.039888888888882
1,0.05500000000000001,15.600000000000001,1001,100101,19.244055555555555,0.9069999999999965
1,0.05500000000000001,16.4,1001,100101,19.11116666666667,0.774111111111111
1,0.05500000000000001,17.200000000000003,1001,100101,18.978277777777777,0.6412222222222184
1,0.05500000000000001,18.0,1001,100101,18.845388888888884,0.5083333333333258
1,0.05500000000000001,18.8,1001,100101,18.7125,0.37544444444444025
1,0.05500000000000001,19.6,1001,100101,18.579611111111113,0.24255555555555475
1,0.05500000000000001,20.4,1001,100101,18.446722222222228,0.10966666666666924
1,0.05500000000000001,21.200000000000003,1011,101101,18.33705555555556,0.02322222222223047
1,0.05500000000000001,22.0,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,22.8,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,23.6,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,24.400000000000002,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,25.200000000000003,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,26.0,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,26.8,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,27.6,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,28.400000000000002,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,29.200000000000003,1011,101101,18.33705555555556,0.04725000000000534
1,0.05500000000000001,30.0,1011,101101,18.33705555555556,0.04725000000000534
1,0.060000000000000005,6.0,1001,100101,20.622018912529555,0.32900000000000773
1,0.060000000000000005,6.8,1001,100101,20.485130023640664,0.404200000000003
1,0.060000000000000005,7.6,1001,100101,20.348241134751774,0.47939999999999827
1,0.060000000000000005,8.4,1001,100101,20.211352245862884,0.5546000000000006
1,0.060000000000000005,9.2,1001,100101,20.074463356973993,0.629800000000003
1,0.060000000000000005,10.0,1001,100101,19.937574468085103,0.7049999999999983
1,0.060000000000000005,10.8,1001,100101,19.800685579196212,0.7802000000000007
1,0.060000000000000005,11.600000000000001,1001,100101,19.66379669030733,0.8553999999999959
1,0.060000000000000005,12.4,1001,100101,19.52690780141844,0.9306000000000054
1,0.060000000000000005,13.2,1001,100101,19.39001891252955,1.0057999999999936
1,0.060000000000000005,14.0,1001,100101,19.253130023640665,1.0380000000000038
1,0.060000000000000005,14.8,1001,100101,19.116241134751768,0.9808888888888845
1,0.060000000000000005,15.600000000000001,1001,100101,18.979352245862884,0.8440000000000012
1,0.060000000000000005,16.4,1001,100101,18.842463356974,0.7071111111111179
1,0.060000000000000005,17.200000000000003,1001,100101,18.70557446808511,0.5702222222222275
