scenario_id,parameter,parameter_label,value,best_policy4,best_policy6,best_profit,second_policy4,second_profit,profit_gap
1,p1,p1,0.05,0001,000111,19.844488304093574,0101,19.321988304093573,0.5225000000000009
1,p1,p1,0.051500000000000004,0001,000111,19.80547523428806,0101,19.28380023428806,0.5216750000000019
1,p1,p1,0.053000000000000005,0001,000111,19.76643052328992,0101,19.245580523289924,0.5208499999999958
1,p1,p1,0.05450000000000001,0001,000111,19.72735402050649,0101,19.2073290205065,0.5200249999999897
1,p1,p1,0.056,0001,000111,19.68824557438795,0101,19.16904557438795,0.5191999999999979
1,p1,p1,0.0575,0001,000111,19.649105032419683,1001,19.141730032419687,0.5073749999999961
1,p1,p1,0.059000000000000004,0001,000111,19.60993224111465,1001,19.13158224111465,0.47834999999999894
1,p1,p1,0.060500000000000005,0001,000111,19.57072704600555,1001,19.121402046005556,0.44932499999999465
1,p1,p1,0.062000000000000006,0001,000111,19.531489291637058,1001,19.111189291637054,0.42030000000000456
1,p1,p1,0.0635,0001,000111,19.492218821557813,1001,19.100943821557806,0.39127500000000737
1,p1,p1,0.065,0001,000111,19.452915478312534,1001,19.090665478312538,0.36224999999999596
1,p1,p1,0.0665,0001,000111,19.413579103433904,1001,19.080354103433912,0.33322499999999167
1,p1,p1,0.068,0001,000111,19.374209537434425,1001,19.07000953743443,0.3041999999999945
1,p1,p1,0.0695,0001,000111,19.334806619798194,1001,19.059631619798196,0.2751749999999973
1,p1,p1,0.07100000000000001,0001,000111,19.295370188972612,1001,19.049220188972612,0.2461500000000001
1,p1,p1,0.07250000000000001,0001,000111,19.255900082359986,1001,19.03877508235999,0.2171249999999958
1,p1,p1,0.07400000000000001,0001,000111,19.216396136309093,1001,19.028296136309095,0.1880999999999986
1,p1,p1,0.07550000000000001,0001,000111,19.176858186106607,1001,19.017783186106605,0.1590750000000014
1,p1,p1,0.07700000000000001,0001,000111,19.137286065968453,1001,19.007236065968456,0.1300499999999971
1,p1,p1,0.07850000000000001,0001,000111,19.097679609031175,1001,18.996654609031168,0.10102500000000703
1,p1,p1,0.08000000000000002,0001,000111,19.05803864734299,1001,18.986038647342994,0.07199999999999562
1,p1,p1,0.08150000000000002,0001,000111,19.018363011855072,1001,18.975388011855074,0.04297499999999843
1,p1,p1,0.08300000000000002,0001,000111,18.978652532412454,1001,18.964702532412453,0.01395000000000124
1,p1,p1,0.0845,1001,100101,18.953982037745007,0001,18.93890703774501,0.015074999999995953
1,p1,p1,0.08600000000000001,1001,100101,18.943226355458307,0001,18.8991263554583,0.044100000000007356
1,p1,p1,0.08750000000000001,1001,100101,18.932435312024353,0001,18.859310312024355,0.07312499999999744
1,p1,p1,0.08900000000000001,1001,100101,18.92160873277229,0001,18.81945873277229,0.10215000000000174
1,p1,p1,0.09050000000000001,1001,100101,18.910746441878928,0001,18.779571441878936,0.13117499999999183
1,p1,p1,0.09200000000000001,1001,100101,18.899848262359278,0001,18.739648262359268,0.16020000000001033
1,p1,p1,0.0935,1001,100101,18.888914016056873,0001,18.699689016056865,0.18922500000000753
1,p1,p1,0.095,1001,100101,18.87794352363413,0001,18.659693523634132,0.2182499999999976
1,p1,p1,0.0965,1001,100101,18.866936604562504,0001,18.619661604562502,0.2472750000000019
1,p1,p1,0.098,1001,100101,18.85589307711259,0001,18.57959307711259,0.2762999999999991
1,p1,p1,0.0995,1001,100101,18.844812758344126,0001,18.539487758344123,0.3053250000000034
1,p1,p1,0.101,1001,100101,18.83369546409591,0001,18.49934546409591,0.3343500000000006
1,p1,p1,0.10250000000000001,1001,100101,18.82254100897555,0001,18.45916600897555,0.3633749999999978
1,p1,p1,0.10400000000000001,1001,100101,18.811349206349206,0001,18.418949206349197,0.3924000000000092
1,p1,p1,0.10550000000000001,1001,100101,18.80011986833116,0001,18.378694868331166,0.42142499999999217
1,p1,p1,0.10700000000000001,1001,100101,18.788852805773303,0001,18.338402805773292,0.4504500000000107
1,p1,p1,0.10850000000000001,1001,100101,18.777547828254498,0001,18.298072828254497,0.47947500000000076
1,p1,p1,0.11000000000000001,1001,100101,18.76620474406991,0001,18.257704744069905,0.5085000000000051
1,p1,p1,0.11150000000000002,1001,100101,18.754823360220094,0001,18.21729836022009,0.5375250000000023
1,p1,p1,0.11300000000000002,1001,100101,18.743403482400105,0001,18.176853482400098,0.5665500000000065
1,p1,p1,0.11450000000000002,1001,100101,18.73194491498839,0001,18.136369914988393,0.5955749999999966
1,p1,p1,0.11600000000000002,1001,100101,18.720447461035697,0001,18.095847461035696,0.6246000000000009
1,p1,p1,0.11750000000000001,1001,100101,18.708910922253693,0001,18.055285922253702,0.653624999999991
1,p1,p1,0.11900000000000001,1001,100101,18.69733509900366,0001,18.01468509900365,0.6826500000000095
1,p1,p1,0.12050000000000001,1001,100101,18.685719790284885,0001,17.974044790284886,0.7116749999999996
1,p1,p1,0.12200000000000001,1001,100101,18.674064793723105,1101,17.944064793723108,0.7299999999999969
1,p1,p1,0.12350000000000001,1001,100101,18.66236990555872,1101,17.932369905558723,0.7299999999999969
1,p1,p1,0.125,1001,100101,18.65063492063492,1101,17.920634920634917,0.730000000000004
1,p1,p1,0.1265,1001,100101,18.638859632385675,1101,17.90885963238567,0.730000000000004
1,p1,p1,0.128,1001,100101,18.627043832823645,1101,17.89704383282365,0.7299999999999969
1,p1,p1,0.1295,1001,100101,18.615187312527922,1101,17.88518731252792,0.730000000000004
1,p1,p1,0.131,1001,100101,18.603289860631634,1101,17.87328986063163,0.730000000000004
1,p1,p1,0.1325,1001,100101,18.591351264809475,1101,17.86135126480948,0.7299999999999969
1,p1,p1,0.134,1001,100101,18.579371311265078,1101,17.849371311265067,0.7300000000000111
1,p1,p1,0.1355,1001,100101,18.567349784718203,1101,17.8373497847182,0.730000000000004
1,p1,p1,0.137,1001,100101,18.555286468391913,1101,17.82528646839191,0.730000000000004
1,p1,p1,0.1385,1001,100101,18.543181143999483,1101,17.81318114399948,0.730000000000004
1,p1,p1,0.14,1001,100101,18.531033591731266,1101,17.80103359173126,0.730000000000004
1,p1,p1,0.14150000000000001,1001,100101,18.51884359024138,1101,17.788843590241378,0.730000000000004
1,p1,p1,0.14300000000000002,1001,100101,18.50661091663425,1101,17.776610916634247,0.730000000000004
1,p1,p1,0.14450000000000002,1001,100101,18.494335346451066,1101,17.764335346451062,0.730000000000004
1,p1,p1,0.14600000000000002,1001,100101,18.482016653655997,1101,17.752016653655993,0.730000000000004
1,p1,p1,0.14750000000000002,1001,100101,18.46965461062235,1101,17.739654610622345,0.730000000000004
1,p1,p1,0.14900000000000002,1001,100101,18.457248988118558,1101,17.727248988118554,0.730000000000004
1,p1,p1,0.15050000000000002,1001,100101,18.44479955529396,1101,17.714799555293958,0.730000000000004
1,p1,p1,0.15200000000000002,1001,100101,18.43230607966457,1101,17.702306079664567,0.730000000000004
1,p1,p1,0.15350000000000003,1001,100101,18.41976832709851,1101,17.689768327098506,0.730000000000004
1,p1,p1,0.15500000000000003,1001,100101,18.407186061801447,1101,17.677186061801443,0.730000000000004
1,p1,p1,0.15650000000000003,1001,100101,18.394559046301787,1101,17.664559046301783,0.730000000000004
1,p1,p1,0.15800000000000003,1001,100101,18.38188704143574,1101,17.651887041435735,0.730000000000004
1,p1,p1,0.15950000000000003,1001,100101,18.36916980633221,1101,17.639169806332205,0.730000000000004
1,p1,p1,0.16100000000000003,1001,100101,18.35640709839756,1101,17.626407098397557,0.730000000000004
1,p1,p1,0.16250000000000003,1001,100101,18.343598673300164,1101,17.61359867330016,0.730000000000004
1,p1,p1,0.16400000000000003,1001,100101,18.33074428495481,1101,17.600744284954807,0.730000000000004
1,p1,p1,0.16550000000000004,1001,100101,18.317843685506958,1101,17.587843685506954,0.730000000000004
1,p1,p1,0.16700000000000004,1001,100101,18.304896625316793,1101,17.57489662531679,0.730000000000004
1,p1,p1,0.16850000000000004,1001,100101,18.29190285294314,1101,17.561902852943135,0.730000000000004
1,p1,p1,0.17000000000000004,1001,100101,18.278862115127176,1101,17.54886211512717,0.730000000000004
1,p1,p1,0.17150000000000004,1001,100101,18.26577415677597,1101,17.535774156775965,0.730000000000004
1,p1,p1,0.17300000000000004,1001,100101,18.252638720945853,1101,17.52263872094585,0.730000000000004
1,p1,p1,0.17450000000000004,1001,100101,18.239455548825624,1101,17.50945554882562,0.730000000000004
1,p1,p1,0.17600000000000005,1001,100101,18.226224379719525,1101,17.49622437971952,0.730000000000004
1,p1,p1,0.17750000000000005,1001,100101,18.21294495103006,1101,17.482944951030056,0.730000000000004
1,p1,p1,0.17900000000000005,1001,100101,18.19961699824063,1101,17.469616998240625,0.730000000000004
1,p1,p1,0.18050000000000005,1001,100101,18.186240254897967,1101,17.45624025489797,0.7299999999999969
1,p1,p1,0.18200000000000005,1001,100101,18.1728144525944,1101,17.442814452594398,0.730000000000004
1,p1,p1,0.18350000000000005,1001,100101,18.159339320949854,1101,17.42933932094985,0.730000000000004
1,p1,p1,0.185,1001,100101,18.145814587593726,1101,17.415814587593722,0.730000000000004
1,p1,p1,0.1865,1001,100101,18.13223997814655,1101,17.402239978146547,0.730000000000004
1,p1,p1,0.188,1001,100101,18.118615216201427,1101,17.388615216201423,0.730000000000004
1,p1,p1,0.1895,1001,100101,18.104940023305225,1101,17.37494002330522,0.730000000000004
