scope,replacement_loss,first_switch_pF,old_policy,new_policy
Q3_nominal,6.0,0.14500000000000002,1111111100011101,1111111101011101
Q3_nominal,7.0,0.11000000000000001,1111111100011101,1111111101011101
Q3_nominal,8.0,0.07500000000000001,1111111100011101,1111111100111101
Q3_nominal,9.0,0.05500000000000001,1111111101011101,1111111100111101
Q3_nominal,10.0,0.05500000000000001,1111111100111101,1111111101011101
Q3_nominal,11.0,0.05500000000000001,1111111110011101,1111111101011101
Q3_nominal,12.0,0.05500000000000001,1111111100111101,1111111101011101
Q3_nominal,13.0,0.05500000000000001,1111111111011101,1111111110111101
Q3_nominal,14.0,0.05500000000000001,1111111101111101,1111111110111101
Q3_nominal,15.0,0.060000000000000005,1111111101111101,1111111111011101
Q3_nominal,16.0,0.060000000000000005,1111111111011101,1111111111111101
Q3_nominal,17.0,,1111111111111101,1111111111111101
Q3_nominal,18.0,,1111111111111101,1111111111111101
Q3_nominal,19.0,,1111111111111101,1111111111111101
Q3_nominal,20.0,,1111111111111101,1111111111111101
Q3_nominal,21.0,,1111111111111101,1111111111111101
Q3_nominal,22.0,,1111111111111101,1111111111111101
Q3_nominal,23.0,,1111111111111101,1111111111111101
Q3_nominal,24.0,,1111111111111101,1111111111111101
Q3_nominal,25.0,,1111111111111101,1111111111111101
Q3_nominal,26.0,,1111111111111101,1111111111111101
Q3_nominal,27.0,,1111111111111101,1111111111111101
Q3_nominal,28.0,0.2,1111111111111101,1111111100111111
Q3_nominal,29.0,0.19,1111111111111101,1111111100111111
Q3_nominal,30.0,0.18000000000000005,1111111111111101,1111111101011111
Q3_nominal,31.0,0.17500000000000004,1111111111111101,1111111101011111
Q3_nominal,32.0,0.17000000000000004,1111111111111101,1111111101011111
Q3_nominal,33.0,0.16000000000000003,1111111111111101,1111111101011111
Q3_nominal,34.0,0.15500000000000003,1111111111111101,1111111100111111
Q3_nominal,35.0,0.15000000000000002,1111111111111101,1111111100111111
Q3_nominal,36.0,0.14500000000000002,1111111111111101,1111111101011111
Q3_nominal,37.0,0.14,1111111111111101,1111111100011111
Q3_nominal,38.0,0.135,1111111111111101,1111111100011111
Q3_nominal,39.0,0.13,1111111111111101,1111111100011111
Q3_nominal,40.0,0.125,1111111111111101,1111111100011111
