scope,replacement_loss,first_switch_pF,old_policy,new_policy
Q3_robust90,6.0,,1111111111111101,1111111111111101
Q3_robust90,7.0,,1111111111111101,1111111111111101
Q3_robust90,8.0,,1111111111111101,1111111111111101
Q3_robust90,9.0,,1111111111111101,1111111111111101
Q3_robust90,10.0,,1111111111111101,1111111111111101
Q3_robust90,11.0,,1111111111111101,1111111111111101
Q3_robust90,12.0,,1111111111111101,1111111111111101
Q3_robust90,13.0,,1111111111111101,1111111111111101
Q3_robust90,14.0,,1111111111111101,1111111111111101
Q3_robust90,15.0,,1111111111111101,1111111111111101
Q3_robust90,16.0,,1111111111111101,1111111111111101
Q3_robust90,17.0,,1111111111111101,1111111111111101
Q3_robust90,18.0,,1111111111111101,1111111111111101
Q3_robust90,19.0,,1111111111111101,1111111111111101
Q3_robust90,20.0,,1111111111111101,1111111111111101
Q3_robust90,21.0,,1111111111111101,1111111111111101
Q3_robust90,22.0,,1111111111111101,1111111111111101
Q3_robust90,23.0,,1111111111111101,1111111111111101
Q3_robust90,24.0,,1111111111111101,1111111111111101
Q3_robust90,25.0,,1111111111111101,1111111111111101
Q3_robust90,26.0,,1111111111111101,1111111111111101
Q3_robust90,27.0,,1111111111111101,1111111111111101
Q3_robust90,28.0,,1111111111111101,1111111111111101
Q3_robust90,29.0,,1111111111111101,1111111111111101
Q3_robust90,30.0,,1111111111111101,1111111111111101
Q3_robust90,31.0,,1111111111111101,1111111111111101
Q3_robust90,32.0,0.18941020927395372,1111111111111101,1111111111111111
Q3_robust90,33.0,0.18344952865569014,1111111111111101,1111111111111111
Q3_robust90,34.0,0.17748884803742654,1111111111111101,1111111111111111
Q3_robust90,35.0,0.17152816741916296,1111111111111101,1111111111111111
Q3_robust90,36.0,0.1685478271100312,1111111111111101,1111111111111111
Q3_robust90,37.0,0.1625871464917676,1111111111111101,1111111111111111
Q3_robust90,38.0,0.1596068061826358,1111111111111101,1111111111111111
Q3_robust90,39.0,0.156626465873504,1111111111111101,1111111111111111
Q3_robust90,40.0,0.15066578525524044,1111111111111101,1111111111111111
