scope,replacement_loss,first_switch_pF,old_policy,new_policy
Q3_robust95,6.0,,1111111111111101,1111111111111101
Q3_robust95,7.0,,1111111111111101,1111111111111101
Q3_robust95,8.0,,1111111111111101,1111111111111101
Q3_robust95,9.0,,1111111111111101,1111111111111101
Q3_robust95,10.0,,1111111111111101,1111111111111101
Q3_robust95,11.0,,1111111111111101,1111111111111101
Q3_robust95,12.0,,1111111111111101,1111111111111101
Q3_robust95,13.0,,1111111111111101,1111111111111101
Q3_robust95,14.0,,1111111111111101,1111111111111101
Q3_robust95,15.0,,1111111111111101,1111111111111101
Q3_robust95,16.0,,1111111111111101,1111111111111101
Q3_robust95,17.0,,1111111111111101,1111111111111101
Q3_robust95,18.0,,1111111111111101,1111111111111101
Q3_robust95,19.0,,1111111111111101,1111111111111101
Q3_robust95,20.0,,1111111111111101,1111111111111101
Q3_robust95,21.0,,1111111111111101,1111111111111101
Q3_robust95,22.0,,1111111111111101,1111111111111101
Q3_robust95,23.0,,1111111111111101,1111111111111101
Q3_robust95,24.0,,1111111111111101,1111111111111101
Q3_robust95,25.0,,1111111111111101,1111111111111101
Q3_robust95,26.0,,1111111111111101,1111111111111101
Q3_robust95,27.0,,1111111111111101,1111111111111101
Q3_robust95,28.0,,1111111111111101,1111111111111101
Q3_robust95,29.0,,1111111111111101,1111111111111101
Q3_robust95,30.0,,1111111111111101,1111111111111101
Q3_robust95,31.0,0.19550085785977425,1111111111111101,1111111111111111
Q3_robust95,32.0,0.18913413400245596,1111111111111101,1111111111111111
Q3_robust95,33.0,0.1827674101451377,1111111111111101,1111111111111111
Q3_robust95,34.0,0.17958404821647855,1111111111111101,1111111111111111
Q3_robust95,35.0,0.17321732435916026,1111111111111101,1111111111111111
Q3_robust95,36.0,0.16685060050184197,1111111111111101,1111111111111111
Q3_robust95,37.0,0.16366723857318283,1111111111111101,1111111111111111
Q3_robust95,38.0,0.16048387664452368,1111111111111101,1111111111111111
Q3_robust95,39.0,0.1541171527872054,1111111111111101,1111111111111111
Q3_robust95,40.0,0.15093379085854627,1111111111111101,1111111111111111
