risk_level,robust_method,rank,policy16,expected_profit,expected_cost,gap_from_best,best_second_gap
nominal,point_estimate_reference,1,1111111111111101,60.22222222222223,139.77777777777777,0.0,0.18000000000000682
nominal,point_estimate_reference,2,1111111011111101,60.04222222222222,139.95777777777778,0.18000000000000682,
nominal,point_estimate_reference,3,1111101111111101,60.04222222222222,139.95777777777778,0.18000000000000682,
nominal,point_estimate_reference,4,1101111111111101,60.04222222222222,139.95777777777778,0.18000000000000682,
nominal,point_estimate_reference,5,1111101011111101,59.862222222222215,140.13777777777779,0.36000000000001364,
nominal,point_estimate_reference,6,1101101111111101,59.862222222222215,140.13777777777779,0.36000000000001364,
nominal,point_estimate_reference,7,1101111011111101,59.862222222222215,140.13777777777779,0.36000000000001364,
nominal,point_estimate_reference,8,1101101011111101,59.68222222222221,140.3177777777778,0.5400000000000205,
nominal,point_estimate_reference,9,1111111100011111,59.369200000000006,140.6308,0.8530222222222221,
nominal,point_estimate_reference,10,1111111110011111,59.27200000000002,140.72799999999998,0.9502222222222088,
robust90,upper_corner_by_monotonicity,1,1111111111111111,38.700438358759385,161.29956164124062,0.0,1.9176217872577013
robust90,upper_corner_by_monotonicity,2,1111111111011111,36.782816571501684,163.21718342849832,1.9176217872577013,
robust90,upper_corner_by_monotonicity,3,1111111110111111,36.782816571501684,163.21718342849832,1.9176217872577013,
robust90,upper_corner_by_monotonicity,4,1111111101111111,36.782816571501684,163.21718342849832,1.9176217872577013,
robust90,upper_corner_by_monotonicity,5,1111111111111101,36.75567124104606,163.24432875895394,1.9447671177133259,
robust90,upper_corner_by_monotonicity,6,1111111011111111,36.5115031365973,163.4884968634027,2.188935222162087,
robust90,upper_corner_by_monotonicity,7,1101111111111111,36.5115031365973,163.4884968634027,2.188935222162087,
robust90,upper_corner_by_monotonicity,8,1111101111111111,36.5115031365973,163.4884968634027,2.188935222162087,
robust90,upper_corner_by_monotonicity,9,0111111111111111,35.85831673482056,164.14168326517944,2.842121623938823,
robust90,upper_corner_by_monotonicity,10,1111110111111111,35.85831673482056,164.14168326517944,2.842121623938823,
robust95,upper_corner_by_monotonicity,1,1111111111111111,36.746800950259825,163.25319904974018,0.0,2.1031451098171488
robust95,upper_corner_by_monotonicity,2,1111111110111111,34.643655840442676,165.35634415955732,2.1031451098171488,
robust95,upper_corner_by_monotonicity,3,1111111111011111,34.643655840442676,165.35634415955732,2.1031451098171488,
robust95,upper_corner_by_monotonicity,4,1111111101111111,34.643655840442676,165.35634415955732,2.1031451098171488,
robust95,upper_corner_by_monotonicity,5,1111111111111101,34.48448118003719,165.5155188199628,2.262319770222632,
robust95,upper_corner_by_monotonicity,6,1101111111111111,34.34275857437291,165.6572414256271,2.4040423758869167,
robust95,upper_corner_by_monotonicity,7,1111111011111111,34.34275857437291,165.6572414256271,2.4040423758869167,
robust95,upper_corner_by_monotonicity,8,1111101111111111,34.34275857437291,165.6572414256271,2.4040423758869167,
robust95,upper_corner_by_monotonicity,9,1111011111111111,33.702902608884216,166.29709739111578,3.043898341375609,
robust95,upper_corner_by_monotonicity,10,1011111111111111,33.702902608884216,166.29709739111578,3.043898341375609,
