quality_id,quality_type,sample_design,n,k,p_hat,input_certified,reported_rate,U_component_90,per_parameter_conf_90,U_simultaneous_90,U_component_95,per_parameter_conf_95,U_simultaneous_95,scope_diagnostic,scope
Q2-S1-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q2-S1-C2,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q2-S1-F,process,fixed,200,20,0.1,True,0.1,0.13281600873296123,0.9966666666666667,0.1708437248342555,0.14198925159094505,0.9983333333333333,0.17718496357496158,global_family_d30,global_family_d30
Q2-S2-C1,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9966666666666667,0.32789811092661725,0.27720024967091356,0.9983333333333333,0.33878530047509925,global_family_d30,global_family_d30
Q2-S2-C2,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9966666666666667,0.32789811092661725,0.27720024967091356,0.9983333333333333,0.33878530047509925,global_family_d30,global_family_d30
Q2-S2-F,process,fixed,200,40,0.2,True,0.2,0.24095216497523905,0.9966666666666667,0.2866968820088461,0.2522495320082148,0.9983333333333333,0.2940729676862653,global_family_d30,global_family_d30
Q2-S3-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q2-S3-C2,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q2-S3-F,process,fixed,200,20,0.1,True,0.1,0.13281600873296123,0.9966666666666667,0.1708437248342555,0.14198925159094505,0.9983333333333333,0.17718496357496158,global_family_d30,global_family_d30
Q2-S4-C1,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9966666666666667,0.32789811092661725,0.27720024967091356,0.9983333333333333,0.33878530047509925,global_family_d30,global_family_d30
Q2-S4-C2,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9966666666666667,0.32789811092661725,0.27720024967091356,0.9983333333333333,0.33878530047509925,global_family_d30,global_family_d30
Q2-S4-F,process,fixed,200,40,0.2,True,0.2,0.24095216497523905,0.9966666666666667,0.2866968820088461,0.2522495320082148,0.9983333333333333,0.2940729676862653,global_family_d30,global_family_d30
Q2-S5-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q2-S5-C2,raw_component,fixed,100,20,0.2,True,0.2,0.2606846763993995,0.9966666666666667,0.32789811092661725,0.27720024967091356,0.9983333333333333,0.33878530047509925,global_family_d30,global_family_d30
Q2-S5-F,process,fixed,200,20,0.1,True,0.1,0.13281600873296123,0.9966666666666667,0.1708437248342555,0.14198925159094505,0.9983333333333333,0.17718496357496158,global_family_d30,global_family_d30
Q2-S6-C1,raw_component,fixed,100,5,0.05,True,0.05,0.09077146961407018,0.9966666666666667,0.14040125936798348,0.10225337764327444,0.9983333333333333,0.149125139162502,global_family_d30,global_family_d30
Q2-S6-C2,raw_component,fixed,100,5,0.05,True,0.05,0.09077146961407018,0.9966666666666667,0.14040125936798348,0.10225337764327444,0.9983333333333333,0.149125139162502,global_family_d30,global_family_d30
Q2-S6-F,process,fixed,200,10,0.05,True,0.05,0.07598978817347089,0.9966666666666667,0.1072194528321171,0.08333515106637196,0.9983333333333333,0.11260903553432192,global_family_d30,global_family_d30
Q3-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C2,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C3,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C4,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C5,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C6,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C7,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-C8,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9966666666666667,0.20790857866387277,0.16371762327581474,0.9983333333333333,0.2177122542660224,global_family_d30,global_family_d30
Q3-H1,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9966666666666667,0.19740595689501653,0.17211430943237394,0.9983333333333333,0.20317074594022608,global_family_d30,global_family_d30
Q3-H2,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9966666666666667,0.19740595689501653,0.17211430943237394,0.9983333333333333,0.20317074594022608,global_family_d30,global_family_d30
Q3-H3,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9966666666666667,0.19740595689501653,0.17211430943237394,0.9983333333333333,0.20317074594022608,global_family_d30,global_family_d30
Q3-F,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9966666666666667,0.19740595689501653,0.17211430943237394,0.9983333333333333,0.20317074594022608,global_family_d30,global_family_d30
