scenario_id,risk_level,robust_method,policy4,policy6,expected_cost,expected_profit,gap
1,nominal,point_estimate_reference,1001,100111,37.15888888888889,18.84111111111111,0.3149999999999977
1,robust90,upper_corner_by_monotonicity,1101,110111,41.50302828527588,14.496971714724118,0.788554998673547
1,robust95,upper_corner_by_monotonicity,1101,110111,42.16211518560332,13.83788481439668,1.0407112015248998
2,nominal,point_estimate_reference,1101,110111,44.0,12.0,1.4799999999999898
2,robust90,upper_corner_by_monotonicity,1101,110111,49.730285774772334,6.269714225227666,1.9556954587843762
2,robust95,upper_corner_by_monotonicity,1101,110111,50.77030832415115,5.229691675848848,1.9038040713029858
3,nominal,point_estimate_reference,1011,101111,39.525555555555556,16.474444444444444,0.0449999999999946
3,robust90,upper_corner_by_monotonicity,1111,111111,43.986467469859676,12.013532530140324,0.2750595465623533
3,robust95,upper_corner_by_monotonicity,1111,111111,44.6130828451173,11.386917154882703,0.4914741690889741
4,nominal,point_estimate_reference,1111,111111,41.25,14.75,1.9600000000000009
4,robust90,upper_corner_by_monotonicity,1111,111111,46.13648415968294,9.863515840317064,3.187700464436382
4,robust95,upper_corner_by_monotonicity,1111,111111,47.02443248645868,8.975567513541321,3.3841139348864644
5,nominal,point_estimate_reference,0101,010111,41.03666666666667,14.963333333333331,0.31111111111111
5,robust90,upper_corner_by_monotonicity,0111,011111,47.89389790748026,8.106102092519741,0.7468167134064032
5,robust95,upper_corner_by_monotonicity,0111,011111,49.0578997586847,6.942100241315302,0.9287183277918842
6,nominal,point_estimate_reference,0000,000000,34.32132963988919,21.678670360110807,0.34990523399913087
6,robust90,upper_corner_by_monotonicity,1000,100000,40.06029437200803,15.93970562799197,0.6550718973436673
6,robust95,upper_corner_by_monotonicity,1000,100000,41.09365023896206,14.906349761037937,0.3660791679789739
