scenario_id,risk_level,robust_method,rank,policy6,policy4,x1,x2,y,z,r1,r2,expected_cost,expected_profit,spectral_radius,full_policy_gap,primary_policy_gap,cost_purchase,cost_component_inspection,cost_assembly,cost_final_inspection,cost_replacement,cost_disassembly,spectral_radius_at_upper,policy16,gap_from_best,best_second_gap
1.0,nominal,point_estimate_reference,1,100111,1001,1.0,0.0,0.0,1.0,1.0,1.0,37.15888888888889,18.84111111111111,0.09999999999999998,0.3149999999999977,0.3149999999999977,24.444444444444443,3.1255555555555556,7.266666666666667,0.0,1.2666666666666668,1.0555555555555556,,,,
1.0,nominal,point_estimate_reference,2,000111,0001,0.0,0.0,0.0,1.0,1.0,1.0,37.47388888888889,18.526111111111113,0.09999999999999998,,,24.444444444444443,1.9105555555555558,7.806666666666666,0.0,1.8066666666666669,1.5055555555555558,,,,
1.0,nominal,point_estimate_reference,3,110111,1101,1.0,1.0,0.0,1.0,1.0,1.0,37.88888888888889,18.111111111111107,0.09999999999999998,,,24.444444444444443,5.555555555555555,6.666666666666666,0.0,0.6666666666666665,0.5555555555555555,,,,
1.0,nominal,point_estimate_reference,4,010111,0101,0.0,1.0,0.0,1.0,1.0,1.0,37.96888888888889,18.03111111111111,0.09999999999999998,,,24.444444444444443,3.9355555555555557,7.266666666666667,0.0,1.2666666666666668,1.0555555555555556,,,,
1.0,nominal,point_estimate_reference,5,100000,1000,1.0,0.0,0.0,0.0,0.0,0.0,39.26748971193415,16.732510288065853,0.19,,,27.709190672153632,2.7434842249657065,7.4074074074074066,-0.0,1.4074074074074066,-0.0,,,,
1.0,nominal,point_estimate_reference,6,101111,1011,1.0,0.0,1.0,1.0,1.0,1.0,39.525555555555556,16.474444444444444,0.09999999999999998,,,24.444444444444443,3.1255555555555556,7.266666666666667,3.6333333333333333,0.0,1.0555555555555556,,,,
1.0,nominal,point_estimate_reference,7,001111,0011,0.0,0.0,1.0,1.0,1.0,1.0,39.57055555555555,16.42944444444445,0.09999999999999998,,,24.444444444444443,1.9105555555555558,7.806666666666666,3.903333333333333,0.0,1.5055555555555558,,,,
1.0,nominal,point_estimate_reference,8,011111,0111,0.0,1.0,1.0,1.0,1.0,1.0,40.33555555555556,15.664444444444442,0.09999999999999998,,,24.444444444444443,3.9355555555555557,7.266666666666667,3.6333333333333333,0.0,1.0555555555555556,,,,
1.0,nominal,point_estimate_reference,9,111111,1111,1.0,1.0,1.0,1.0,1.0,1.0,40.55555555555556,15.444444444444443,0.09999999999999998,,,24.444444444444443,5.555555555555555,6.666666666666666,3.333333333333333,0.0,0.5555555555555555,,,,
1.0,nominal,point_estimate_reference,10,000000,0000,0.0,0.0,0.0,0.0,0.0,0.0,40.63923182441702,15.360768175582983,0.271,,,30.17832647462277,-0.0,8.230452674897117,-0.0,2.230452674897119,-0.0,,,,
1.0,robust90,upper_corner_by_monotonicity,1,110111,1101,,,,,,,41.50302828527588,14.496971714724118,,0.788554998673547,0.788554998673547,26.543285455093184,6.032564876157542,7.033121630832407,0.0,1.0331216308324074,0.8609346923603395,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,2,100111,1001,,,,,,,42.29158328394943,13.708416716050571,,,,26.543285455093184,3.9113123128676497,8.060112535054795,0.0,2.0601125350547957,1.7167604458789965,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,3,010111,0101,,,,,,,42.99866747171273,13.001332528287271,,,,26.543285455093187,4.618396500630947,8.060112535054795,0.0,2.0601125350547957,1.7167604458789965,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,4,000111,0001,,,,,,,43.89430567831759,12.105694321682407,,,,26.543285455093187,3.1022847951347066,8.911318386384597,0.0,2.911318386384598,2.426098655320498,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,5,111111,1111,,,,,,,43.986467469859676,12.013532530140324,,,,26.543285455093184,6.032564876157542,7.033121630832407,3.5165608154162036,0.0,0.8609346923603395,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,6,101111,1011,,,,,,,44.26152701642203,11.73847298357797,,,,26.543285455093184,3.9113123128676497,8.060112535054795,4.030056267527398,0.0,1.7167604458789965,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,7,011111,0111,,,,,,,44.96861120418533,11.03138879581467,,,,26.543285455093187,4.618396500630947,8.060112535054795,4.030056267527398,0.0,1.7167604458789965,0.14689375288254924,,,
1.0,robust90,upper_corner_by_monotonicity,8,001111,0011,,,,,,,45.43864648512529,10.56135351487471,,,,26.543285455093187,3.1022847951347066,8.911318386384597,4.455659193192298,0.0,2.426098655320498,0.14689375288254924,,,
