parameter,value,policy16,profit,gap
pF,0.05,1111111111111101,63.614035087719316,0.18000000000000682
pF,0.052500000000000005,1111111111111101,63.45294635004399,0.18000000000000682
pF,0.05500000000000001,1111111111111101,63.29100529100532,0.18000000000000682
pF,0.0575,1111111111111101,63.12820512820514,0.18000000000000682
pF,0.060000000000000005,1111111111111101,62.96453900709221,0.18000000000000682
pF,0.0625,1111111111111101,62.80000000000001,0.18000000000000682
pF,0.065,1111111111111101,62.63458110516936,0.18000000000000682
pF,0.0675,1111111111111101,62.468275245755166,0.18000000000000682
pF,0.07,1111111111111101,62.301075268817215,0.18000000000000682
pF,0.07250000000000001,1111111111111101,62.13297394429472,0.18000000000000682
pF,0.07500000000000001,1111111111111101,61.96396396396398,0.18000000000000682
pF,0.07750000000000001,1111111111111101,61.79403794037941,0.18000000000000682
pF,0.08000000000000002,1111111111111101,61.62318840579712,0.18000000000000682
pF,0.08250000000000002,1111111111111101,61.451407811080855,0.18000000000000682
pF,0.085,1111111111111101,61.278688524590194,0.18000000000000682
pF,0.08750000000000001,1111111111111101,61.105022831050235,0.18000000000000682
pF,0.09000000000000001,1111111111111101,60.93040293040295,0.18000000000000682
pF,0.09250000000000001,1111111111111101,60.754820936639135,0.18000000000000682
pF,0.09500000000000001,1111111111111101,60.578268876611446,0.18000000000000682
pF,0.0975,1111111111111101,60.400738688827346,0.18000000000000682
pF,0.1,1111111111111101,60.22222222222223,0.18000000000000682
pF,0.10250000000000001,1111111111111101,60.04271123491182,0.18000000000000682
pF,0.10500000000000001,1111111111111101,59.86219739292366,0.18000000000000682
pF,0.10750000000000001,1111111111111101,59.680672268907585,0.18000000000000682
pF,0.11000000000000001,1111111111111101,59.498127340824,0.18000000000000682
pF,0.11250000000000002,1111111111111101,59.314553990610335,0.18000000000000682
pF,0.11500000000000002,1111111111111101,59.12994350282489,0.18000000000000682
pF,0.11750000000000002,1111111111111101,58.94428706326724,0.18000000000000682
pF,0.12000000000000001,1111111111111101,58.75757575757578,0.16939636363636623
pF,0.12250000000000001,1111111111111101,58.56980056980058,0.08119125356125778
pF,0.125,1111111100011111,58.388595238095235,0.007642857142826642
pF,0.1275,1111111100011111,58.288133342884436,0.03482999999999947
pF,0.13,1111111100011111,58.18721977011495,0.029159999999990305
pF,0.1325,1111111100011111,58.08585061479346,0.023489999999981137
pF,0.135,1111111100011111,57.984021926782276,0.01782000000000039
pF,0.1375,1111111100011111,57.88172971014495,0.012150000000019645
pF,0.14,1111111100011111,57.77896992248063,0.006480000000010477
pF,0.14250000000000002,1111111100011111,57.675738474246856,0.0008100000000013097
pF,0.14500000000000002,1111111110011111,57.57689122807017,0.0
pF,0.14750000000000002,1111111100111111,57.47837399804499,0.0
pF,0.15000000000000002,1111111110011111,57.37937254901962,0.0
pF,0.15250000000000002,1111111110011111,57.27988259587022,0.0
pF,0.15500000000000003,1111111101011111,57.179899802761355,0.0
pF,0.15750000000000003,1111111101011111,57.07941978239367,0.0
pF,0.16000000000000003,1111111100111111,56.97843809523809,0.0
pF,0.16250000000000003,1111111110011111,56.87695024875623,0.0
pF,0.16500000000000004,1111111100111111,56.77495169660679,0.0
pF,0.16750000000000004,1111111110011111,56.67243783783783,0.0
pF,0.17000000000000004,1111111100111111,56.569404016064254,0.0
pF,0.17250000000000004,1111111101011111,56.4658455186304,0.0
pF,0.17500000000000004,1111111100111111,56.361757575757565,0.0
pF,0.17750000000000005,1111111110011111,56.2571353596758,0.0
pF,0.18000000000000005,1111111100111111,56.15197398373985,0.0
pF,0.18250000000000005,1111111101011111,56.046268501529056,0.0
pF,0.18500000000000005,1111111101011111,55.94001390593047,0.0
pF,0.18750000000000006,1111111110011111,55.83320512820512,0.0
pF,0.19,1111111110011111,55.72583703703705,0.0
pF,0.1925,1111111100111111,55.617904437564505,0.0
pF,0.195,1111111100111111,55.50940207039338,0.0
pF,0.1975,1111111110011111,55.400324610591895,0.0
pF,0.2,1111111110011111,55.29066666666668,0.0
replacement_loss,6.0,1111111100011101,65.3692,0.09719999999998663
replacement_loss,6.5,1111111100011101,65.17814444444446,0.05670000000000641
replacement_loss,7.0,1111111100011101,64.9870888888889,0.016199999999997772
replacement_loss,7.5,1111111110011101,64.82033333333334,0.0
replacement_loss,8.0,1111111100111101,64.6697777777778,0.0
replacement_loss,8.5,1111111110011101,64.51922222222223,0.0
replacement_loss,9.0,1111111110011101,64.36866666666668,0.0
replacement_loss,9.5,1111111101011101,64.21811111111111,0.0
replacement_loss,10.0,1111111100111101,64.06755555555557,0.0
replacement_loss,10.5,1111111110011101,63.917,0.0
replacement_loss,11.0,1111111111011101,63.78444444444446,0.0
replacement_loss,11.5,1111111110111101,63.678888888888906,0.0
replacement_loss,12.0,1111111101111101,63.57333333333335,0.0
replacement_loss,12.5,1111111101111101,63.4677777777778,0.0
replacement_loss,13.0,1111111111011101,63.362222222222215,0.0
replacement_loss,13.5,1111111111011101,63.25666666666666,0.0
replacement_loss,14.0,1111111110111101,63.151111111111106,0.0
replacement_loss,14.5,1111111111111101,63.05555555555557,0.010000000000019327
replacement_loss,15.0,1111111111111101,63.00000000000003,0.060000000000030695
replacement_loss,15.5,1111111111111101,62.94444444444446,0.11000000000001364
replacement_loss,16.0,1111111111111101,62.888888888888914,0.160000000000025
replacement_loss,16.5,1111111111111101,62.83333333333334,0.18000000000000682
replacement_loss,17.0,1111111111111101,62.7777777777778,0.18000000000000682
replacement_loss,17.5,1111111111111101,62.72222222222223,0.18000000000000682
replacement_loss,18.0,1111111111111101,62.666666666666686,0.18000000000000682
replacement_loss,18.5,1111111111111101,62.61111111111114,0.18000000000000682
replacement_loss,19.0,1111111111111101,62.55555555555557,0.18000000000000682
replacement_loss,19.5,1111111111111101,62.50000000000003,0.18000000000000682
replacement_loss,20.0,1111111111111101,62.44444444444446,0.18000000000000682
replacement_loss,20.5,1111111111111101,62.388888888888914,0.18000000000000682
replacement_loss,21.0,1111111111111101,62.33333333333334,0.18000000000000682
replacement_loss,21.5,1111111111111101,62.2777777777778,0.18000000000000682
replacement_loss,22.0,1111111111111101,62.22222222222223,0.18000000000000682
replacement_loss,22.5,1111111111111101,62.166666666666686,0.18000000000000682
replacement_loss,23.0,1111111111111101,62.11111111111114,0.18000000000000682
replacement_loss,23.5,1111111111111101,62.05555555555557,0.18000000000000682
replacement_loss,24.0,1111111111111101,62.00000000000003,0.18000000000000682
replacement_loss,24.5,1111111111111101,61.94444444444446,0.18000000000000682
replacement_loss,25.0,1111111111111101,61.888888888888914,0.18000000000000682
replacement_loss,25.5,1111111111111101,61.83333333333334,0.18000000000000682
replacement_loss,26.0,1111111111111101,61.7777777777778,0.18000000000000682
replacement_loss,26.5,1111111111111101,61.72222222222223,0.18000000000000682
replacement_loss,27.0,1111111111111101,61.666666666666686,0.18000000000000682
replacement_loss,27.5,1111111111111101,61.61111111111114,0.18000000000000682
replacement_loss,28.0,1111111111111101,61.55555555555557,0.18000000000000682
replacement_loss,28.5,1111111111111101,61.50000000000003,0.18000000000000682
replacement_loss,29.0,1111111111111101,61.44444444444446,0.18000000000000682
replacement_loss,29.5,1111111111111101,61.388888888888914,0.18000000000000682
replacement_loss,30.0,1111111111111101,61.33333333333334,0.18000000000000682
replacement_loss,30.5,1111111111111101,61.2777777777778,0.18000000000000682
replacement_loss,31.0,1111111111111101,61.22222222222223,0.18000000000000682
replacement_loss,31.5,1111111111111101,61.166666666666686,0.18000000000000682
replacement_loss,32.0,1111111111111101,61.11111111111114,0.18000000000000682
replacement_loss,32.5,1111111111111101,61.05555555555557,0.18000000000000682
replacement_loss,33.0,1111111111111101,61.00000000000003,0.18000000000000682
replacement_loss,33.5,1111111111111101,60.94444444444446,0.18000000000000682
replacement_loss,34.0,1111111111111101,60.888888888888914,0.18000000000000682
replacement_loss,34.5,1111111111111101,60.83333333333334,0.18000000000000682
replacement_loss,35.0,1111111111111101,60.7777777777778,0.18000000000000682
replacement_loss,35.5,1111111111111101,60.72222222222223,0.18000000000000682
replacement_loss,36.0,1111111111111101,60.666666666666686,0.18000000000000682
replacement_loss,36.5,1111111111111101,60.61111111111114,0.18000000000000682
replacement_loss,37.0,1111111111111101,60.55555555555557,0.18000000000000682
replacement_loss,37.5,1111111111111101,60.50000000000003,0.18000000000000682
replacement_loss,38.0,1111111111111101,60.44444444444446,0.18000000000000682
replacement_loss,38.5,1111111111111101,60.388888888888914,0.18000000000000682
replacement_loss,39.0,1111111111111101,60.33333333333334,0.18000000000000682
replacement_loss,39.5,1111111111111101,60.2777777777778,0.18000000000000682
replacement_loss,40.0,1111111111111101,60.22222222222223,0.18000000000000682
