scope,quality_id,quality_type,sample_design,n,k,p_hat,input_certified,reported_rate,U_component_90,per_parameter_conf_90,U_simultaneous_90,U_component_95,per_parameter_conf_95,U_simultaneous_95
Q3,Q3-C1,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C2,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C3,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C4,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C5,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C6,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C7,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-C8,raw_component,fixed,100,10,0.1,True,0.1,0.14988259230162027,0.9916666666666667,0.19418377920641913,0.16371762327581474,0.9958333333333333,0.20465301704801633
Q3,Q3-H1,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9916666666666667,0.18941020927395372,0.17211430943237394,0.9958333333333333,0.19550085785977425
Q3,Q3-H2,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9916666666666667,0.18941020927395372,0.17211430943237394,0.9958333333333333,0.19550085785977425
Q3,Q3-H3,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9916666666666667,0.18941020927395372,0.17211430943237394,0.9958333333333333,0.19550085785977425
Q3,Q3-F,process,sequential,200,20,0.1,True,0.1,0.16458918936145484,0.9916666666666667,0.18941020927395372,0.17211430943237394,0.9958333333333333,0.19550085785977425
