scope,sample_multiplier,projection_assumption,risk_level,policy4,policy6,profit,gap,mean_upper_minus_phat,family_size,status
Q2-S1,1.0,future sample fraction equals current p_hat,nominal,1001,100111,18.84111111111111,0.3149999999999977,0.0,3,
Q2-S1,1.0,future sample fraction equals current p_hat,robust90,1101,110111,14.496971714724118,0.788554998673547,0.06307468476333734,3,
Q2-S1,1.0,future sample fraction equals current p_hat,robust95,1101,110111,13.83788481439668,1.0407112015248998,0.07361906228827257,3,
Q2-S1,2.0,future sample fraction equals current p_hat,nominal,1001,100111,18.84111111111111,0.3149999999999977,0.0,3,
Q2-S1,2.0,future sample fraction equals current p_hat,robust90,1101,110111,15.777788660556183,0.27433301873099936,0.041750460513136606,3,
Q2-S1,2.0,future sample fraction equals current p_hat,robust95,1101,110111,15.367705605326513,0.44054370957964295,0.04868663180625902,3,
Q2-S1,4.0,future sample fraction equals current p_hat,nominal,1001,100111,18.84111111111111,0.3149999999999977,0.0,3,
Q2-S1,4.0,future sample fraction equals current p_hat,robust90,1001,100111,16.618339942659368,0.05436909124787803,0.02811341292516635,3,
Q2-S1,4.0,future sample fraction equals current p_hat,robust95,1101,110111,16.2991495746395,0.05678869175827117,0.03274934200671115,3,
Q2-S1,8.0,future sample fraction equals current p_hat,nominal,1001,100111,18.84111111111111,0.3149999999999977,0.0,3,
Q2-S1,8.0,future sample fraction equals current p_hat,robust90,1001,100111,17.335064761591838,0.26935368407840343,0.019184426861475447,3,
Q2-S1,8.0,future sample fraction equals current p_hat,robust95,1001,100111,17.084125067937087,0.19400870231924472,0.022326690631154583,3,
Q2-S1,16.0,future sample fraction equals current p_hat,nominal,1001,100111,18.84111111111111,0.3149999999999977,0.0,3,
Q2-S1,16.0,future sample fraction equals current p_hat,robust90,1001,100111,17.80798535206634,0.4127356066205863,0.013222315869736467,3,
Q2-S1,16.0,future sample fraction equals current p_hat,robust95,1001,100111,17.637712316798826,0.3610997897257491,0.015376187483510814,3,
Q2-S2,1.0,future sample fraction equals current p_hat,nominal,1101,110111,12.0,1.4799999999999898,0.0,3,
Q2-S2,1.0,future sample fraction equals current p_hat,robust90,1101,110111,6.269714225227666,1.9556954587843762,0.07670639764314152,3,
Q2-S2,1.0,future sample fraction equals current p_hat,robust95,1101,110111,5.229691675848848,1.9038040713029858,0.08904829392847348,3,
Q2-S2,2.0,future sample fraction equals current p_hat,nominal,1101,110111,12.0,1.4799999999999898,0.0,3,
Q2-S2,2.0,future sample fraction equals current p_hat,robust90,1101,110111,8.236943705280538,2.0533561016860915,0.05209755910811284,3,
Q2-S2,2.0,future sample fraction equals current p_hat,robust95,1101,110111,7.578907669480763,2.0196478284271535,0.060508054521891834,3,
Q2-S2,4.0,future sample fraction equals current p_hat,nominal,1101,110111,12.0,1.4799999999999898,0.0,3,
Q2-S2,4.0,future sample fraction equals current p_hat,robust90,1101,110111,9.472929404435362,2.116363145163618,0.035749715605579775,3,
Q2-S2,4.0,future sample fraction equals current p_hat,robust95,1101,110111,9.042276974407216,2.0939023268051997,0.04152191495779822,3,
Q2-S2,8.0,future sample fraction equals current p_hat,nominal,1101,110111,12.0,1.4799999999999898,0.0,3,
Q2-S2,8.0,future sample fraction equals current p_hat,robust90,1101,110111,10.276521667799834,2.058392081752096,0.02473067388099338,3,
Q2-S2,8.0,future sample fraction equals current p_hat,robust95,1101,110111,9.988052047345363,2.142870195193865,0.02871989686259438,3,
Q2-S2,16.0,future sample fraction equals current p_hat,nominal,1101,110111,12.0,1.4799999999999898,0.0,3,
Q2-S2,16.0,future sample fraction equals current p_hat,robust90,1101,110111,10.811866877548496,1.882542472389673,0.017212407090474623,3,
Q2-S2,16.0,future sample fraction equals current p_hat,robust95,1101,110111,10.615493402612273,1.947267803640358,0.019985578753625315,3,
Q2-S3,1.0,future sample fraction equals current p_hat,nominal,1011,101111,16.474444444444444,0.0449999999999946,0.0,3,
Q2-S3,1.0,future sample fraction equals current p_hat,robust90,1111,111111,12.013532530140324,0.2750595465623533,0.06307468476333734,3,
Q2-S3,1.0,future sample fraction equals current p_hat,robust95,1111,111111,11.386917154882703,0.4914741690889741,0.07361906228827257,3,
Q2-S3,2.0,future sample fraction equals current p_hat,nominal,1011,101111,16.474444444444444,0.0449999999999946,0.0,3,
Q2-S3,2.0,future sample fraction equals current p_hat,robust90,1011,101111,13.398224665301889,0.16634823991664405,0.041750460513136606,3,
Q2-S3,2.0,future sample fraction equals current p_hat,robust95,1011,101111,12.866142332110506,0.023553786142947786,0.04868663180625902,3,
Q2-S3,4.0,future sample fraction equals current p_hat,nominal,1011,101111,16.474444444444444,0.0449999999999946,0.0,3,
Q2-S3,4.0,future sample fraction equals current p_hat,robust90,1011,101111,14.427303205004712,0.4487607185708171,0.02811341292516635,3,
