pF,replacement_loss,policy16,profit,gap,quality_axis
0.1,6.0,1111111111111101,45.91236000375031,1.7958236769297855,Q3-F: p_hat -> U95 simultaneous
0.1,7.0,1111111111111101,45.801248892639194,1.9913245347895554,Q3-F: p_hat -> U95 simultaneous
0.1,8.0,1111111111111101,45.69013778152808,2.1868253926493253,Q3-F: p_hat -> U95 simultaneous
0.1,9.0,1111111111111101,45.579026670416965,2.382326250509095,Q3-F: p_hat -> U95 simultaneous
0.1,10.0,1111111111111101,45.46791555930585,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,11.0,1111111111111101,45.35680444819474,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,12.0,1111111111111101,45.24569333708362,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,13.0,1111111111111101,45.13458222597251,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,14.0,1111111111111101,45.02347111486142,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,15.0,1111111111111101,44.91236000375031,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,16.0,1111111111111101,44.801248892639194,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,17.0,1111111111111101,44.69013778152808,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,18.0,1111111111111101,44.579026670416965,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,19.0,1111111111111101,44.46791555930585,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,20.0,1111111111111101,44.35680444819474,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,21.0,1111111111111101,44.24569333708362,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,22.0,1111111111111101,44.13458222597251,2.4040423758868883,Q3-F: p_hat -> U95 simultaneous
0.1,23.0,1111111111111101,44.02347111486142,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,24.0,1111111111111101,43.91236000375031,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,25.0,1111111111111101,43.801248892639194,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,26.0,1111111111111101,43.69013778152808,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,27.0,1111111111111101,43.579026670416965,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,28.0,1111111111111101,43.46791555930585,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,29.0,1111111111111101,43.35680444819474,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,30.0,1111111111111101,43.24569333708362,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,31.0,1111111111111101,43.13458222597251,2.4040423758868883,Q3-F: p_hat -> U95 simultaneous
0.1,32.0,1111111111111101,43.02347111486142,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,33.0,1111111111111101,42.91236000375031,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,34.0,1111111111111101,42.801248892639194,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,35.0,1111111111111101,42.69013778152808,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,36.0,1111111111111101,42.579026670416965,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,37.0,1111111111111101,42.46791555930585,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
0.1,38.0,1111111111111101,42.35680444819474,2.4040423758869167,Q3-F: p_hat -> U95 simultaneous
