n_orders,running_mean_profit
1000,60.762
3010,60.8671096345515
5020,60.94980079681275
7030,60.73741109530583
9040,60.53827433628319
11050,60.424343891402714
13060,60.285068912710564
15070,60.325547445255474
17080,60.37599531615925
19090,60.26385542168675
21101,60.28576844699303
23111,60.20077019601056
25121,60.18793041678277
27131,60.23795658103277
29141,60.23753474486119
31151,60.24214310937049
33161,60.18744911190857
35171,60.11290551875124
37181,60.11008310696323
39191,60.11839452935623
41202,60.14834231347993
43212,60.17525224474683
45222,60.15174030339215
47232,60.11540904471545
49242,60.089029690101945
51252,60.05443690002341
53262,60.06116931395742
55272,60.05706325083225
57282,60.09409587654062
59292,60.09497065371382
61303,60.084188375772804
63313,60.0586767330564
65323,60.056519143333894
67333,60.066906271813224
69343,60.06268837517846
71353,60.07172788810561
73363,60.06916292954214
75373,60.08947501094556
77383,60.08242120362353
79393,60.086229264544734
81404,60.09508132278512
83414,60.099132040185104
85424,60.09896516201536
87434,60.10412425372281
89444,60.11571486069496
91454,60.10547379010213
93464,60.09863690832834
95474,60.09856086473805
97484,60.102242419268805
99494,60.10516212032886
101505,60.0928821240333
103515,60.11044776119403
105525,60.11026770907368
107535,60.11439996280281
109545,60.12511753160801
111555,60.1379767827529
113565,60.1462422401268
115575,60.152974259139086
117585,60.13361398137518
119595,60.137898741586184
121606,60.13264148150585
123616,60.11911888428683
125626,60.12678904048525
127636,60.12086715346767
129646,60.11514431606066
131656,60.13154736586255
133666,60.12781111127736
135676,60.12512898375542
137686,60.10874017692431
139696,60.11174979956477
141707,60.12212523022857
143717,60.12163487965933
145727,60.149361477282866
147737,60.15581743232907
149747,60.1512951845446
151757,60.15188096759952
153767,60.159572600102756
155777,60.15770620823356
157787,60.162307414425776
159797,60.14979004612102
161808,60.14580861267675
163818,60.14618662173876
165828,60.150432978749066
167838,60.15377328137847
169848,60.156110169092365
171858,60.15058944011917
173868,60.14408631835646
175878,60.14587953012884
177888,60.148379879474724
179898,60.15923467742832
181909,60.15174620277172
183919,60.14514541727608
185929,60.147443378924216
187939,60.151910992396466
189949,60.148866274631615
191959,60.14769820638782
193969,60.15859235238621
195979,60.16710974134984
197989,60.178818015142255
200000,60.179945
