parameter,value,profit_action_1,profit_action_0,difference_1_minus_0
inspect_H1,0.0,64.66666666666669,58.866666666666674,5.800000000000011
inspect_H1,0.1,64.55555555555554,58.83655555555558,5.718999999999966
inspect_H1,0.2,64.44444444444446,58.80644444444445,5.638000000000005
inspect_H1,0.30000000000000004,64.33333333333331,58.776333333333355,5.5569999999999595
inspect_H1,0.4,64.22222222222223,58.74622222222223,5.475999999999999
inspect_H1,0.5,64.11111111111109,58.71611111111113,5.394999999999953
inspect_H1,0.6000000000000001,64.0,58.68600000000001,5.313999999999993
inspect_H1,0.7000000000000001,63.88888888888886,58.65588888888891,5.232999999999947
inspect_H1,0.8,63.77777777777777,58.625777777777785,5.151999999999987
inspect_H1,0.9,63.666666666666686,58.59566666666666,5.071000000000026
inspect_H1,1.0,63.55555555555554,58.56555555555556,4.989999999999981
inspect_H1,1.1,63.44444444444446,58.535444444444465,4.908999999999992
inspect_H1,1.2000000000000002,63.333333333333314,58.50533333333334,4.8279999999999745
inspect_H1,1.3,63.22222222222223,58.475222222222214,4.747000000000014
inspect_H1,1.4000000000000001,63.111111111111086,58.44511111111112,4.665999999999968
inspect_H1,1.5,63.0,58.41500000000002,4.5849999999999795
inspect_H1,1.6,62.88888888888886,58.384888888888895,4.503999999999962
inspect_H1,1.7000000000000002,62.77777777777777,58.3547777777778,4.422999999999973
inspect_H1,1.8,62.666666666666686,58.32466666666667,4.342000000000013
inspect_H1,1.9000000000000001,62.55555555555554,58.294555555555576,4.260999999999967
inspect_H1,2.0,62.44444444444446,58.26444444444445,4.180000000000007
inspect_H1,2.1,62.333333333333314,58.23433333333335,4.098999999999961
inspect_H1,2.2,62.22222222222223,58.20422222222223,4.018000000000001
inspect_H1,2.3000000000000003,62.111111111111086,58.17411111111113,3.936999999999955
inspect_H1,2.4000000000000004,62.0,58.144000000000005,3.8559999999999945
inspect_H1,2.5,61.88888888888886,58.11388888888891,3.774999999999949
