component,inspect_cost,profit_if_inspect,profit_if_not_inspect,profit_diff_inspect_minus_no,preferred
C1,0.0,61.333333333333314,59.5333333333333,1.8000000000000114,inspect
C1,0.05,61.27777777777777,59.51827777777777,1.7595000000000027,inspect
C1,0.1,61.22222222222223,59.503222222222234,1.718999999999994,inspect
C1,0.15000000000000002,61.166666666666686,59.48816666666664,1.6785000000000423,inspect
C1,0.2,61.111111111111086,59.47311111111111,1.6379999999999768,inspect
C1,0.25,61.05555555555554,59.458055555555575,1.5974999999999682,inspect
C1,0.30000000000000004,61.0,59.442999999999984,1.5570000000000164,inspect
C1,0.35000000000000003,60.94444444444446,59.42794444444445,1.5165000000000077,inspect
C1,0.4,60.88888888888886,59.41288888888886,1.475999999999999,inspect
C1,0.45,60.833333333333314,59.397833333333324,1.4354999999999905,inspect
C1,0.5,60.77777777777777,59.38277777777779,1.3949999999999818,inspect
C1,0.55,60.72222222222223,59.3677222222222,1.35450000000003,inspect
C1,0.6000000000000001,60.666666666666686,59.352666666666664,1.3140000000000214,inspect
C1,0.65,60.611111111111086,59.33761111111113,1.273499999999956,inspect
C1,0.7000000000000001,60.55555555555554,59.32255555555554,1.233000000000004,inspect
C1,0.75,60.5,59.307500000000005,1.1924999999999955,inspect
C1,0.8,60.44444444444446,59.29244444444441,1.1520000000000437,inspect
C1,0.8500000000000001,60.38888888888886,59.27738888888888,1.1114999999999782,inspect
C1,0.9,60.333333333333314,59.262333333333345,1.0709999999999695,inspect
C1,0.9500000000000001,60.27777777777777,59.247277777777754,1.0305000000000177,inspect
C1,1.0,60.22222222222223,59.23222222222222,0.9900000000000091,inspect
C1,1.05,60.166666666666686,59.217166666666685,0.9495000000000005,inspect
C1,1.1,60.111111111111086,59.202111111111094,0.9089999999999918,inspect
C1,1.1500000000000001,60.05555555555554,59.18705555555556,0.8684999999999832,inspect
C1,1.2000000000000002,60.0,59.17199999999997,0.8280000000000314,inspect
C1,1.25,59.94444444444446,59.156944444444434,0.7875000000000227,inspect
C1,1.3,59.88888888888886,59.1418888888889,0.7469999999999573,inspect
C1,1.35,59.833333333333314,59.12683333333331,0.7065000000000055,inspect
C1,1.4000000000000001,59.77777777777777,59.111777777777775,0.6659999999999968,inspect
C1,1.4500000000000002,59.72222222222223,59.09672222222224,0.6254999999999882,inspect
C1,1.5,59.666666666666686,59.08166666666665,0.5850000000000364,inspect
C1,1.55,59.611111111111086,59.066611111111115,0.5444999999999709,inspect
C1,1.6,59.55555555555554,59.051555555555524,0.5040000000000191,inspect
C1,1.6500000000000001,59.5,59.03649999999999,0.46350000000001046,inspect
C1,1.7000000000000002,59.44444444444446,59.021444444444455,0.4230000000000018,inspect
C1,1.75,59.38888888888886,59.006388888888864,0.3824999999999932,inspect
C1,1.8,59.333333333333314,58.99133333333333,0.34199999999998454,inspect
C1,1.85,59.27777777777777,58.976277777777796,0.3014999999999759,inspect
C1,1.9000000000000001,59.22222222222223,58.961222222222204,0.2610000000000241,inspect
C1,1.9500000000000002,59.166666666666686,58.94616666666667,0.22050000000001546,inspect
C1,2.0,59.111111111111086,58.93111111111108,0.18000000000000682,inspect
C1,2.0500000000000003,59.05555555555554,58.916055555555545,0.13949999999999818,inspect
C1,2.1,59.0,58.90100000000001,0.09899999999998954,inspect
C1,2.15,58.94444444444446,58.88594444444442,0.058500000000037744,inspect
C1,2.2,58.88888888888886,58.870888888888885,0.01799999999997226,inspect
C1,2.2222222222222223,58.8641975308642,58.8641975308642,0.0,tie
C1,2.25,58.833333333333314,58.85583333333335,-0.02250000000003638,no_inspect
C1,2.3000000000000003,58.77777777777777,58.84077777777776,-0.06299999999998818,no_inspect
C1,2.35,58.72222222222223,58.825722222222225,-0.10349999999999682,no_inspect
